card_id	review_th	delta_t	rating	i	r_history	t_history	y	p
1369.0	8259.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4849.0	8262.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
1222.0	8263.0	6.0	4.0	3.0	3,1	0,37	1.0	0.8674711585044861
1212.0	8265.0	18.0	2.0	5.0	2,4,2,2	0,3,10,12	1.0	0.9998999834060669
5329.0	8266.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1997.0	8268.0	6.0	2.0	2.0	2	0	1.0	0.9420455098152161
499.0	8269.0	130.0	1.0	3.0	3,4	0,39	0.0	0.9998999834060669
2003.0	8271.0	6.0	3.0	2.0	2	0	1.0	0.9420455098152161
1422.0	8272.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
5339.0	8274.0	7.0	4.0	2.0	2	0	1.0	0.9418125152587891
5360.0	8275.0	6.0	4.0	2.0	2	0	1.0	0.9420455098152161
1362.0	8277.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
1463.0	8278.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
5177.0	8280.0	8.0	3.0	3.0	2,2	0,5	1.0	0.999753475189209
5344.0	8281.0	7.0	3.0	2.0	2	0	1.0	0.9418125152587891
1394.0	8283.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4861.0	8284.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
5382.0	8286.0	6.0	2.0	2.0	1	0	1.0	0.8496896624565125
1378.0	8287.0	22.0	3.0	6.0	2,2,3,3,3	0,2,2,4,7	1.0	0.9998999834060669
1421.0	8289.0	5.0	1.0	6.0	2,3,4,1,1	0,2,4,20,4	0.0	0.8676272630691528
1996.0	8290.0	6.0	4.0	3.0	1,2	0,1	1.0	0.8600377440452576
4803.0	8293.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
4824.0	8298.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
5178.0	8299.0	8.0	2.0	3.0	2,2	0,5	1.0	0.999753475189209
4865.0	8301.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
5378.0	8302.0	6.0	3.0	2.0	2	0	1.0	0.9420455098152161
1812.0	8304.0	5.0	3.0	5.0	2,1,1,1	0,1,5,4	1.0	0.8677204847335815
4882.0	8305.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
1761.0	8307.0	16.0	4.0	4.0	2,2,4	0,1,4	1.0	0.998857319355011
4886.0	8308.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
1960.0	8310.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1816.0	8311.0	5.0	3.0	5.0	2,1,1,1	0,1,4,4	1.0	0.8677204251289368
1248.0	8313.0	21.0	3.0	5.0	2,3,4,2	0,2,4,15	1.0	0.9998999834060669
4807.0	8314.0	34.0	3.0	2.0	3	0	1.0	0.9775476455688477
4754.0	8318.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4782.0	8319.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4745.0	8321.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
1929.0	8322.0	5.0	1.0	3.0	1,1	0,4	0.0	0.867497444152832
2029.0	8324.0	5.0	3.0	2.0	2	0	1.0	0.9422868490219116
1969.0	8326.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1660.0	8327.0	18.0	4.0	4.0	2,3,4	0,2,4	1.0	0.9998999834060669
2016.0	8329.0	5.0	2.0	3.0	2,2	0,1	1.0	0.9401649832725525
1757.0	8330.0	6.0	1.0	8.0	2,1,1,1,1,2,2	0,1,4,1,4,1,4	0.0	0.9768232703208923
4780.0	8332.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
2002.0	8333.0	6.0	4.0	2.0	2	0	1.0	0.9420455098152161
1974.0	8335.0	7.0	1.0	2.0	3	0	0.0	0.9786780476570129
1482.0	8337.0	22.0	3.0	5.0	2,3,4,3	0,1,3,7	1.0	0.9998999834060669
1995.0	8338.0	6.0	3.0	3.0	2,2	0,1	1.0	0.9399119019508362
5325.0	8340.0	8.0	3.0	2.0	3	0	1.0	0.9786249399185181
4773.0	8341.0	36.0	3.0	2.0	3	0	1.0	0.9774852991104126
1952.0	8343.0	8.0	1.0	2.0	1	0	0.0	0.8477567434310913
1987.0	8344.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1355.0	8346.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4776.0	8347.0	36.0	3.0	2.0	3	0	1.0	0.9774852991104126
1643.0	8349.0	9.0	1.0	5.0	2,3,2,2	0,2,6,7	0.0	0.9998999834060669
1902.0	8361.0	5.0	3.0	4.0	2,1,1	0,1,4	1.0	0.8676313757896423
4798.0	8362.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1964.0	8364.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1580.0	8365.0	10.0	1.0	8.0	2,1,2,1,3,3,2	0,1,3,3,1,3,8	0.0	0.9998999834060669
2034.0	8367.0	5.0	2.0	2.0	2	0	1.0	0.9422868490219116
1738.0	8368.0	7.0	1.0	6.0	2,2,2,1,2	0,1,2,6,5	0.0	0.9861311912536621
1606.0	8370.0	13.0	1.0	4.0	2,3,2	0,4,10	0.0	0.9998999834060669
1968.0	8371.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1519.0	8373.0	24.0	4.0	4.0	2,3,4	0,2,6	1.0	0.9998999834060669
1959.0	8374.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1985.0	8376.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1622.0	8377.0	5.0	3.0	9.0	2,1,1,2,1,1,1,1	0,2,1,2,8,1,4,4	1.0	0.8679559826850891
1530.0	8379.0	32.0	2.0	2.0	3	0	1.0	0.9776125550270081
2013.0	8380.0	5.0	4.0	3.0	2,2	0,1	1.0	0.9401649832725525
1905.0	8382.0	5.0	3.0	4.0	1,2,1	0,1,4	1.0	0.8674541711807251
1983.0	8384.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1492.0	8385.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
4817.0	8387.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
1944.0	8388.0	4.0	3.0	3.0	1,1	0,5	1.0	0.8684729933738708
1508.0	8390.0	12.0	2.0	5.0	2,3,2,2	0,3,6,11	1.0	0.9998999834060669
1534.0	8391.0	23.0	4.0	5.0	2,2,4,4	0,1,2,6	1.0	0.9998999834060669
1498.0	8393.0	20.0	4.0	5.0	2,2,4,3	0,3,2,7	1.0	0.9998999834060669
4846.0	8394.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
1207.0	8396.0	21.0	4.0	5.0	2,3,4,2	0,3,5,16	1.0	0.9998999834060669
1852.0	8397.0	8.0	3.0	3.0	2,3	0,5	1.0	0.9997613430023193
4870.0	8402.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
890.0	8403.0	34.0	2.0	3.0	3,2	0,29	1.0	0.9998999834060669
4868.0	8405.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
1887.0	8406.0	7.0	1.0	3.0	2,3	0,4	0.0	0.9990646839141846
5330.0	8411.0	8.0	3.0	2.0	3	0	1.0	0.9786249399185181
4866.0	8417.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
5356.0	8423.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1822.0	8424.0	9.0	4.0	4.0	2,2,3	0,1,4	1.0	0.9988499879837036
1424.0	8427.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1411.0	8428.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1957.0	8430.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1833.0	8431.0	9.0	4.0	3.0	2,3	0,4	1.0	0.9990622401237488
1558.0	8433.0	20.0	4.0	4.0	2,4,3	0,2,7	1.0	0.9998999834060669
4833.0	8434.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
1427.0	8436.0	35.0	1.0	2.0	3	0	0.0	0.9775161743164062
1448.0	8437.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1403.0	8439.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
1550.0	8440.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1433.0	8442.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1188.0	8443.0	22.0	4.0	5.0	2,4,4,2	0,2,5,16	1.0	0.9998999834060669
1446.0	8446.0	35.0	4.0	2.0	2	0	1.0	0.9377803206443787
1552.0	8448.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1575.0	8449.0	29.0	4.0	2.0	3	0	1.0	0.9777148365974426
1947.0	8451.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1242.0	8454.0	12.0	3.0	7.0	2,4,2,2,2,2	0,2,6,7,6,9	1.0	0.9998999834060669
1958.0	8455.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
5326.0	8457.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
4924.0	8458.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1799.0	8460.0	9.0	3.0	4.0	2,2,3	0,1,5	1.0	0.999691903591156
1160.0	8461.0	30.0	2.0	5.0	2,2,3,4	0,3,4,9	1.0	0.9998999834060669
1545.0	8463.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
5324.0	8464.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1383.0	8465.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
1567.0	8466.0	29.0	4.0	2.0	3	0	1.0	0.9777148365974426
1562.0	8467.0	29.0	4.0	2.0	3	0	1.0	0.9777148365974426
4823.0	8468.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
5348.0	8478.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
5386.0	8479.0	6.0	3.0	2.0	2	0	1.0	0.9420455098152161
4724.0	8481.0	28.0	3.0	5.0	2,2,4,4	0,1,3,7	1.0	0.9998999834060669
2039.0	8483.0	5.0	1.0	2.0	2	0	0.0	0.9422868490219116
4926.0	8485.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
4777.0	8487.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
3901.0	8489.0	126.0	3.0	3.0	3,4	0,38	1.0	0.9998999834060669
2015.0	8491.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1460.0	8493.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
4885.0	8495.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
2005.0	8497.0	7.0	3.0	2.0	3	0	1.0	0.9786780476570129
2046.0	8500.0	5.0	4.0	2.0	2	0	1.0	0.9422868490219116
4848.0	8503.0	34.0	3.0	2.0	3	0	1.0	0.9775476455688477
4333.0	8505.0	48.0	3.0	3.0	2,4	0,13	1.0	0.9998999834060669
4911.0	8507.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
4761.0	8509.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4815.0	8513.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
2052.0	8515.0	5.0	4.0	2.0	2	0	1.0	0.9422868490219116
4757.0	8517.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4805.0	8519.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1991.0	8521.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
4895.0	8523.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
1788.0	8525.0	6.0	3.0	5.0	2,2,1,1	0,1,5,4	1.0	0.8667262196540833
1409.0	8527.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
2000.0	8529.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
4890.0	8531.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
2008.0	8533.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
2047.0	8536.0	5.0	2.0	2.0	2	0	1.0	0.9422868490219116
4810.0	8538.0	35.0	2.0	2.0	3	0	1.0	0.9775161743164062
1986.0	8540.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
5367.0	8541.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
4858.0	8542.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
1526.0	8543.0	33.0	3.0	2.0	3	0	1.0	0.9775797724723816
5349.0	8545.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
4856.0	8546.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
2042.0	8548.0	5.0	1.0	2.0	2	0	0.0	0.9422868490219116
1466.0	8549.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
4602.0	8550.0	29.0	4.0	5.0	2,3,4,4	0,2,3,8	1.0	0.9998999834060669
5342.0	8552.0	8.0	3.0	2.0	3	0	1.0	0.9786249399185181
4908.0	8553.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
4941.0	8554.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1418.0	8556.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
5359.0	8557.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1493.0	8558.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
5374.0	8560.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1364.0	8561.0	4.0	4.0	8.0	2,4,4,1,2,1,2	0,2,5,20,1,5,1	1.0	0.8710156679153442
4918.0	8562.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
5368.0	8564.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1486.0	8565.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
4841.0	8567.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
2011.0	8568.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
3947.0	8569.0	115.0	4.0	3.0	3,4	0,33	1.0	0.9998999834060669
1479.0	8571.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
4769.0	8572.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
5328.0	8573.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
4912.0	8575.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
1294.0	8576.0	13.0	4.0	8.0	2,2,2,2,2,2,2	0,1,2,3,5,6,12	1.0	0.9998999834060669
4783.0	8577.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
4335.0	8579.0	35.0	4.0	6.0	1,1,3,3,4	0,19,2,4,10	1.0	0.9998999834060669
5351.0	8580.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
1450.0	8581.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
1455.0	8583.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
5379.0	8584.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1384.0	8586.0	38.0	2.0	2.0	3	0	1.0	0.9774253368377686
1490.0	8587.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
5365.0	8590.0	7.0	3.0	2.0	3	0	1.0	0.9786780476570129
1461.0	8591.0	12.0	1.0	8.0	2,1,2,4,2,2,2	0,1,3,2,4,4,9	0.0	0.9998999834060669
5323.0	8592.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
5361.0	8594.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
4867.0	8595.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
5345.0	8597.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
2004.0	8598.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
1502.0	8599.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
1857.0	8601.0	9.0	4.0	3.0	2,3	0,5	1.0	0.9997610449790955
1612.0	8602.0	4.0	2.0	7.0	2,1,1,3,2,1	0,2,1,3,8,10	1.0	0.8692334294319153
1867.0	8603.0	4.0	2.0	4.0	2,1,1	0,4,5	1.0	0.8686076402664185
1584.0	8605.0	29.0	4.0	2.0	3	0	1.0	0.9777148365974426
1563.0	8606.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1891.0	8607.0	5.0	2.0	4.0	2,2,2	0,1,6	1.0	0.9998999834060669
1724.0	8609.0	4.0	3.0	6.0	2,3,2,1,2	0,2,7,8,1	1.0	0.8713628053665161
1615.0	8610.0	21.0	3.0	4.0	2,4,4	0,2,5	1.0	0.9998999834060669
1938.0	8611.0	4.0	2.0	4.0	1,1,2	0,5,1	1.0	0.871012806892395
1647.0	8613.0	14.0	3.0	5.0	2,3,3,3	0,2,2,7	1.0	0.9998999834060669
1928.0	8614.0	6.0	3.0	3.0	1,2	0,4	1.0	0.9678887128829956
1886.0	8615.0	8.0	3.0	3.0	2,3	0,4	1.0	0.9990634322166443
1815.0	8617.0	6.0	1.0	5.0	2,1,1,3	0,1,4,4	0.0	0.9764243960380554
1568.0	8618.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
1677.0	8619.0	14.0	4.0	5.0	2,2,3,3	0,1,2,7	1.0	0.9998999834060669
1845.0	8620.0	4.0	3.0	5.0	2,1,1,1	0,5,4,1	1.0	0.8687188029289246
1842.0	8621.0	4.0	4.0	5.0	2,1,1,2	0,5,4,1	1.0	0.8710959553718567
1881.0	8622.0	8.0	1.0	3.0	2,3	0,4	0.0	0.9990634322166443
1722.0	8623.0	13.0	3.0	4.0	2,3,3	0,2,7	1.0	0.9998999834060669
1687.0	8624.0	4.0	3.0	6.0	2,2,2,1,1	0,2,6,6,5	1.0	0.8686016201972961
1981.0	8630.0	9.0	3.0	2.0	3	0	1.0	0.9785728454589844
1523.0	8631.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
1501.0	8632.0	34.0	2.0	2.0	3	0	1.0	0.9775476455688477
4774.0	8635.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
4876.0	8637.0	34.0	3.0	2.0	3	0	1.0	0.9775476455688477
4448.0	8638.0	39.0	3.0	4.0	2,4,4	0,3,10	1.0	0.9998999834060669
1975.0	8640.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
1950.0	8641.0	5.0	3.0	3.0	2,1	0,5	1.0	0.8677482008934021
2061.0	8643.0	5.0	4.0	3.0	1,2	0,1	1.0	0.8610671758651733
2058.0	8644.0	5.0	2.0	3.0	2,2	0,1	1.0	0.9401649832725525
1951.0	8645.0	5.0	3.0	3.0	2,1	0,5	1.0	0.8677482008934021
1948.0	8647.0	5.0	1.0	4.0	1,1,1	0,4,1	0.0	0.8677411675453186
1934.0	8649.0	7.0	4.0	3.0	2,2	0,4	1.0	0.99903404712677
4829.0	8651.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4943.0	8653.0	30.0	4.0	2.0	3	0	1.0	0.9776800870895386
4787.0	8655.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
2012.0	8657.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
3916.0	8666.0	126.0	4.0	3.0	3,4	0,39	1.0	0.9998999834060669
1977.0	8667.0	9.0	3.0	2.0	3	0	1.0	0.9785728454589844
1965.0	8669.0	5.0	1.0	3.0	1,1	0,5	0.0	0.8674907684326172
1954.0	8670.0	5.0	1.0	3.0	1,1	0,5	0.0	0.8674907684326172
4915.0	8672.0	32.0	3.0	2.0	3	0	1.0	0.9776125550270081
4742.0	8678.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
2010.0	8680.0	8.0	3.0	2.0	3	0	1.0	0.9786249399185181
1980.0	8681.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
1978.0	8683.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
5033.0	8684.0	17.0	4.0	4.0	2,3,3	0,1,7	1.0	0.9998999834060669
5358.0	8686.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
4883.0	8687.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
2054.0	8689.0	5.0	4.0	3.0	2,2	0,1	1.0	0.9401649832725525
4812.0	8691.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4759.0	8692.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
4822.0	8694.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4371.0	8695.0	39.0	3.0	4.0	2,3,4	0,7,11	1.0	0.9998999834060669
4930.0	8703.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
2064.0	8704.0	5.0	4.0	3.0	1,2	0,1	1.0	0.8610671758651733
2063.0	8706.0	5.0	1.0	3.0	1,2	0,1	0.0	0.8610671758651733
4819.0	8707.0	36.0	3.0	2.0	3	0	1.0	0.9774852991104126
4748.0	8709.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
4880.0	8715.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
4881.0	8716.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
2043.0	8718.0	5.0	2.0	3.0	2,2	0,1	1.0	0.9401649832725525
2031.0	8721.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
5404.0	8722.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
789.0	8724.0	4.0	1.0	4.0	1,2,1	0,60,53	0.0	0.86915522813797
5363.0	8725.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
4813.0	8727.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
4751.0	8728.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
2063.0	8729.0	1.0	2.0	4.0	1,2,1	0,1,5	1.0	0.8718978762626648
2189.0	8730.0	1.0	2.0	2.0	2	0	1.0	0.9433403611183167
2190.0	8731.0	1.0	2.0	2.0	2	0	1.0	0.9433403611183167
789.0	8732.0	1.0	2.0	5.0	1,2,1,1	0,60,53,4	1.0	0.872148334980011
1426.0	8733.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
1011.0	8734.0	5.0	3.0	4.0	1,4,1	0,12,46	1.0	0.8680506348609924
528.0	8736.0	129.0	2.0	3.0	3,4	0,40	1.0	0.9998999834060669
5383.0	8737.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
5431.0	8739.0	6.0	3.0	2.0	1	0	1.0	0.8496896624565125
4826.0	8740.0	25.0	3.0	4.0	2,4,3	0,3,8	1.0	0.9998999834060669
4879.0	8742.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
5375.0	8743.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
3921.0	8744.0	127.0	4.0	3.0	3,4	0,39	1.0	0.9998999834060669
1428.0	8745.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
972.0	8747.0	24.0	2.0	5.0	2,3,2,2	0,11,13,15	1.0	0.9998999834060669
5428.0	8749.0	6.0	3.0	2.0	2	0	1.0	0.9420455098152161
785.0	8751.0	9.0	2.0	6.0	2,2,3,1,3	0,1,45,60,3	1.0	0.9585661292076111
4884.0	8753.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
4925.0	8755.0	33.0	3.0	2.0	3	0	1.0	0.9775797724723816
5395.0	8757.0	8.0	4.0	2.0	3	0	1.0	0.9786249399185181
5214.0	8760.0	10.0	3.0	3.0	2,3	0,5	1.0	0.9997608065605164
4828.0	8762.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
5364.0	8764.0	9.0	4.0	2.0	3	0	1.0	0.9785728454589844
5370.0	8766.0	9.0	3.0	2.0	3	0	1.0	0.9785728454589844
